Req/Sec,,,
,1KB,10KB,100KB
Golang,75782.27,31028.24,23816.51
asyncio (stream),5096.16,4209.25,4202.25
httptools (callback),47517.38,30448.56,19208.47
httptools (callback) + uvloop,76486.43,28912.57,23992.57
C#,33696.52,8914.21,1314.56
,,,
Go,,,
Latency,1KB,10KB,100KB
50%,366.00us,0.89ms,1.16ms
75%,540.00us,1.30ms,1.71ms
90%,646.00us,1.60ms,2.06ms
99%,1.47ms,2.50ms,2.87ms
,,,
asyncio (stream),,,
Latency,,,
50%,5.43ms,5.89ms,5.88ms
75%,5.58ms,8.81ms,7.52ms
90%,5.81ms,8.86ms,9.07ms
99%,6.19ms,8.95ms,9.29ms
,,,
httptools (callback),,,
Latency,,,
50%,566.00us,0.90ms,1.47ms
75%,582.00us,0.94ms,1.53ms
90%,622.00us,1.09ms,1.55ms
99%,0.91ms,1.28ms,1.84ms
,,,
httptools (callback) + uvloop,,,
50%,327.00us,760.00us,1.19ms
75%,342.00us,1.28ms,1.23ms
90%,558.00us,1.61ms,1.30ms
99%,813.00us,3.11ms,2.47ms
,,,
C#,,,
50%,632.00us,2.43ms,5.63ms
75%,1.14ms,4.39ms,10.16ms
90%,2.35ms,7.27ms,15.80ms
99%,8.47ms,17.91ms,29.22ms
